kde,prefix,LogLikelihood,Bandwidth,trained.on,evaluated.on,query.size,query.id,result.file
kendall,prefix,kendalls.tau,split,query.size,query.id,result.file
ndcg,prefix,ndcg.at,split,fraction.at,at,query.size,query.id,result.file
map,prefix,map.relevant,split,fraction.relevant,relevant,query.size,query.id,result.file
precision,prefix,precision.at.relevant,split,fractions.relevant,fractions.at,relevant,at,query.size,query.id,result.file
kendall,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7005474798059291,eval,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9523523994383777,eval,0.01,157,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9426076528089918,eval,0.05,785,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9511747088643755,eval,0.1,1571,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9602580189133257,eval,0.15,2356,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9647044380496653,eval,0.2,3142,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9676324770528355,eval,0.25,3927,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9704555615657295,eval,0.3,4713,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9755063646630474,eval,0.4,6284,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
ndcg,ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9793959546307317,eval,0.5,7855,15710,1,/home/nguyenh/rt-ranking/result/1/ranknet-s1-dtrain1.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-1659712119454907296.csv
