
[+] General Parameters:
LETOR 4.0 dataset: No
Training data:	../data/all/train1.mslr
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	ERR@10
Test metric:	ERR@10
Highest relevance label (to compute ERR): 4
Feature normalization: No
Model file: ../result/1/rankboost.model

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/all/train1.mslr]: 0... Reading feature file [../data/all/train1.mslr]: 0... Reading feature file [../data/all/train1.mslr]... [Done.]            
(1 ranked lists, 15710 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | ERR@10-T  | ERR@10-V  | 
--------------------------------------------------------------------
88      | 14       | 0.0992    | 0.0257    | NaN       | 
89      | 1        | 63.1858   | 0.0246    | NaN       | 
90      | 27       | 0.5164    | 0.024     | NaN       | 
91      | 48       | 0.125     | 0.0239    | NaN       | 
92      | 62       | 0.45      | 0.0243    | NaN       | 
93      | 30       | 0.3       | 0.0239    | NaN       | 
94      | 43       | 0.2054    | 0.0253    | NaN       | 
95      | 1        | 63.1858   | 0.0236    | NaN       | 
96      | 1        | 63.1858   | 0.0229    | NaN       | 
97      | 63       | 0.12      | 0.0228    | NaN       | 
98      | 40       | 0.2154    | 0.0236    | NaN       | 
99      | 29       | 0.5981    | 0.0229    | NaN       | 
100     | 11       | 0.7117    | 0.0232    | NaN       | 
101     | 55       | 0.1333    | 0.0224    | NaN       | 
102     | 1        | 63.1858   | 0.0219    | NaN       | 
103     | 1        | 63.1858   | 0.0213    | NaN       | 
104     | 40       | 0.5385    | 0.0213    | NaN       | 
105     | 29       | 0.3372    | 0.0217    | NaN       | 
106     | 49       | 0.2111    | 0.0225    | NaN       | 
107     | 42       | 0.0908    | 0.0214    | NaN       | 
108     | 29       | 0.5981    | 0.0213    | NaN       | 
109     | 62       | 0.45      | 0.0212    | NaN       | 
110     | 48       | 0.375     | 0.0214    | NaN       | 
111     | 54       | 0.125     | 0.0213    | NaN       | 
112     | 27       | 0.4057    | 0.0218    | NaN       | 
113     | 13       | 0.6426    | 0.0209    | NaN       | 
114     | 51       | 0.2667    | 0.0204    | NaN       | 
115     | 30       | 0.3       | 0.0208    | NaN       | 
116     | 31       | 0.3984    | 0.0203    | NaN       | 
117     | 1        | 63.1858   | 0.02      | NaN       | 
118     | 1        | 63.1858   | 0.0195    | NaN       | 
119     | 1        | 248.6332  | 0.0195    | NaN       | 
120     | 60       | 0.1286    | 0.0192    | NaN       | 
121     | 23       | 0.5787    | 0.0199    | NaN       | 
122     | 18       | 0.22      | 0.0199    | NaN       | 
123     | 62       | 0.45      | 0.0197    | NaN       | 
124     | 48       | 0.375     | 0.0193    | NaN       | 
125     | 32       | 0.4388    | 0.0195    | NaN       | 
126     | 35       | 0.1217    | 0.0194    | NaN       | 
127     | 22       | 0.5872    | 0.019     | NaN       | 
128     | 1        | 63.1858   | 0.0189    | NaN       | 
129     | 1        | 63.1858   | 0.0185    | NaN       | 
130     | 1        | 248.6332  | 0.0183    | NaN       | 
131     | 31       | 0.7373    | 0.018     | NaN       | 
132     | 63       | 0.12      | 0.0182    | NaN       | 
133     | 1        | 63.1858   | 0.018     | NaN       | 
134     | 1        | 63.1858   | 0.0176    | NaN       | 
135     | 1        | 248.6332  | 0.0175    | NaN       | 
136     | 49       | 0.2111    | 0.0174    | NaN       | 
137     | 29       | 0.5981    | 0.0181    | NaN       | 
138     | 42       | 0.0908    | 0.0174    | NaN       | 
139     | 62       | 0.45      | 0.0171    | NaN       | 
140     | 1        | 63.1858   | 0.017     | NaN       | 
141     | 1        | 248.6332  | 0.017     | NaN       | 
142     | 54       | 0.125     | 0.0169    | NaN       | 
143     | 37       | 0.1136    | 0.017     | NaN       | 
144     | 48       | 0.375     | 0.0167    | NaN       | 
145     | 29       | 0.4676    | 0.0165    | NaN       | 
146     | 1        | 63.1858   | 0.0165    | NaN       | 
147     | 1        | 248.6332  | 0.0164    | NaN       | 
148     | 1        | 63.1858   | 0.0161    | NaN       | 
149     | 13       | 0.7497    | 0.016     | NaN       | 
150     | 1        | 248.6332  | 0.0159    | NaN       | 
151     | 1        | 63.1858   | 0.0157    | NaN       | 
152     | 42       | 0.0908    | 0.0156    | NaN       | 
153     | 1        | 248.6332  | 0.0154    | NaN       | 
154     | 1        | 63.1858   | 0.0153    | NaN       | 
155     | 40       | 0.5385    | 0.0152    | NaN       | 
156     | 30       | 0.3       | 0.0154    | NaN       | 
157     | 40       | 0.1077    | 0.0152    | NaN       | 
158     | 60       | 0.3857    | 0.015     | NaN       | 
159     | 48       | 0.125     | 0.015     | NaN       | 
160     | 62       | 0.45      | 0.015     | NaN       | 
161     | 51       | 0.2667    | 0.0152    | NaN       | 
162     | 31       | 0.7373    | 0.0151    | NaN       | 
163     | 1        | 63.1858   | 0.0147    | NaN       | 
164     | 1        | 248.6332  | 0.0145    | NaN       | 
165     | 23       | 0.3465    | 0.0145    | NaN       | 
166     | 18       | 0.22      | 0.0147    | NaN       | 
167     | 29       | 0.5981    | 0.015     | NaN       | 
168     | 1        | 63.1858   | 0.0143    | NaN       | 
169     | 42       | 0.0908    | 0.0141    | NaN       | 
170     | 1        | 248.6332  | 0.0141    | NaN       | 
171     | 1        | 63.1858   | 0.0139    | NaN       | 
172     | 1        | 248.6332  | 0.0137    | NaN       | 
173     | 1        | 63.1858   | 0.0136    | NaN       | 
174     | 40       | 0.1077    | 0.0134    | NaN       | 
175     | 54       | 0.125     | 0.0135    | NaN       | 
176     | 27       | 0.5164    | 0.0137    | NaN       | 
177     | 49       | 0.2111    | 0.0137    | NaN       | 
178     | 32       | 0.3221    | 0.0139    | NaN       | 
179     | 13       | 0.7497    | 0.0139    | NaN       | 
180     | 62       | 0.45      | 0.0136    | NaN       | 
181     | 48       | 0.375     | 0.0138    | NaN       | 
182     | 60       | 0.3857    | 0.0135    | NaN       | 
183     | 63       | 0.12      | 0.0133    | NaN       | 
184     | 20       | 0.2143    | 0.0137    | NaN       | 
185     | 1        | 248.6332  | 0.0131    | NaN       | 
186     | 1        | 63.1858   | 0.013     | NaN       | 
187     | 29       | 0.5981    | 0.0129    | NaN       | 
188     | 43       | 0.2054    | 0.0129    | NaN       | 
189     | 29       | 0.3372    | 0.0137    | NaN       | 
190     | 1        | 63.1858   | 0.0127    | NaN       | 
191     | 1        | 248.6332  | 0.0126    | NaN       | 
192     | 42       | 0.0908    | 0.0125    | NaN       | 
193     | 1        | 63.1858   | 0.0124    | NaN       | 
194     | 20       | 0.5357    | 0.0123    | NaN       | 
195     | 9        | 0.4519    | 0.0122    | NaN       | 
196     | 62       | 0.45      | 0.0124    | NaN       | 
197     | 13       | 0.7497    | 0.0125    | NaN       | 
198     | 60       | 0.1286    | 0.0124    | NaN       | 
199     | 27       | 0.627     | 0.0124    | NaN       | 
200     | 1        | 63.1858   | 0.0121    | NaN       | 
201     | 56       | 0.1333    | 0.0121    | NaN       | 
202     | 32       | 0.4388    | 0.012     | NaN       | 
203     | 55       | 0.1333    | 0.0127    | NaN       | 
204     | 1        | 248.6332  | 0.0119    | NaN       | 
205     | 35       | 0.1217    | 0.0119    | NaN       | 
206     | 40       | 0.1077    | 0.0118    | NaN       | 
207     | 48       | 0.375     | 0.0117    | NaN       | 
208     | 1        | 63.1858   | 0.0117    | NaN       | 
209     | 1        | 248.6332  | 0.0116    | NaN       | 
210     | 60       | 0.3857    | 0.0115    | NaN       | 
211     | 30       | 0.3       | 0.0115    | NaN       | 
212     | 1        | 63.1858   | 0.0114    | NaN       | 
213     | 1        | 248.6332  | 0.0113    | NaN       | 
214     | 1        | 63.1858   | 0.0112    | NaN       | 
215     | 18       | 0.22      | 0.0112    | NaN       | 
216     | 29       | 0.5981    | 0.0118    | NaN       | 
217     | 40       | 0.1077    | 0.011     | NaN       | 
218     | 54       | 0.125     | 0.0112    | NaN       | 
219     | 31       | 0.7373    | 0.011     | NaN       | 
220     | 62       | 0.45      | 0.011     | NaN       | 
221     | 20       | 0.5357    | 0.0111    | NaN       | 
222     | 1        | 63.1858   | 0.0109    | NaN       | 
223     | 1        | 248.6332  | 0.0108    | NaN       | 
224     | 1        | 63.1858   | 0.0107    | NaN       | 
225     | 24       | 0.2       | 0.0106    | NaN       | 
226     | 13       | 0.7497    | 0.0106    | NaN       | 
227     | 37       | 0.1136    | 0.0105    | NaN       | 
228     | 32       | 0.3221    | 0.0106    | NaN       | 
229     | 48       | 0.125     | 0.0107    | NaN       | 
230     | 49       | 0.2111    | 0.0106    | NaN       | 
231     | 23       | 0.5787    | 0.0109    | NaN       | 
232     | 63       | 0.12      | 0.0109    | NaN       | 
233     | 42       | 0.0908    | 0.0106    | NaN       | 
234     | 51       | 0.1333    | 0.0104    | NaN       | 
235     | 1        | 63.1858   | 0.0103    | NaN       | 
236     | 1        | 248.6332  | 0.0103    | NaN       | 
237     | 60       | 0.3857    | 0.0102    | NaN       | 
238     | 24       | 0.2       | 0.0101    | NaN       | 
239     | 53       | 0.3143    | 0.0101    | NaN       | 
240     | 62       | 0.45      | 0.0102    | NaN       | 
241     | 1        | 63.1858   | 0.01      | NaN       | 
242     | 1        | 248.6332  | 0.0099    | NaN       | 
243     | 40       | 0.1077    | 0.0099    | NaN       | 
244     | 13       | 0.6426    | 0.0098    | NaN       | 
245     | 48       | 0.375     | 0.0099    | NaN       | 
246     | 29       | 0.5981    | 0.0098    | NaN       | 
247     | 1        | 63.1858   | 0.0098    | NaN       | 
248     | 24       | 0.2       | 0.0097    | NaN       | 
249     | 1        | 248.6332  | 0.0096    | NaN       | 
250     | 1        | 63.1858   | 0.0096    | NaN       | 
251     | 56       | 0.1333    | 0.0095    | NaN       | 
252     | 23       | 0.3465    | 0.0097    | NaN       | 
253     | 54       | 0.125     | 0.0094    | NaN       | 
254     | 42       | 0.0908    | 0.0094    | NaN       | 
255     | 1        | 248.6332  | 0.0093    | NaN       | 
256     | 1        | 63.1858   | 0.0093    | NaN       | 
257     | 24       | 0.2       | 0.0092    | NaN       | 
258     | 55       | 0.4       | 0.0091    | NaN       | 
259     | 30       | 0.3       | 0.0092    | NaN       | 
260     | 40       | 0.1077    | 0.0092    | NaN       | 
261     | 27       | 0.627     | 0.0091    | NaN       | 
262     | 43       | 0.2054    | 0.0091    | NaN       | 
263     | 32       | 0.4388    | 0.0093    | NaN       | 
264     | 62       | 0.45      | 0.0092    | NaN       | 
265     | 13       | 0.7497    | 0.0092    | NaN       | 
266     | 60       | 0.3857    | 0.0092    | NaN       | 
267     | 59       | 0.2167    | 0.009     | NaN       | 
268     | 1        | 63.1858   | 0.009     | NaN       | 
269     | 1        | 248.6332  | 0.0089    | NaN       | 
270     | 1        | 63.1858   | 0.0088    | NaN       | 
271     | 20       | 0.5357    | 0.0088    | NaN       | 
272     | 27       | 0.4057    | 0.0087    | NaN       | 
273     | 63       | 0.36      | 0.0087    | NaN       | 
274     | 24       | 0.2       | 0.0087    | NaN       | 
275     | 48       | 0.375     | 0.0087    | NaN       | 
