
[+] General Parameters:
LETOR 4.0 dataset: No
Training data:	../data/all/train3.mslr
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	ERR@10
Test metric:	ERR@10
Highest relevance label (to compute ERR): 4
Feature normalization: No
Model file: ../result/3/rankboost.model

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/all/train3.mslr]: 0... Reading feature file [../data/all/train3.mslr]: 0... Reading feature file [../data/all/train3.mslr]... [Done.]            
(1 ranked lists, 15710 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | ERR@10-T  | ERR@10-V  | 
--------------------------------------------------------------------
1       | 1        | 155.9095  | 0.4946    | -6.064523 | 
2       | 1        | 125.0016  | 0.2929    | -6.064523 | 
3       | 1        | 186.8174  | 0.3169    | -6.064523 | 
4       | 1        | 155.9095  | 0.2533    | -6.064523 | 
5       | 1        | 125.0016  | 0.236     | -6.064523 | 
6       | 1        | 186.8174  | 0.2315    | -6.064523 | 
7       | 22       | 0.4336    | 0.1986    | -6.064523 | 
8       | 1        | 125.0016  | 0.1865    | -6.064523 | 
9       | 1        | 94.0937   | 0.1735    | -6.064523 | 
10      | 1        | 186.8174  | 0.1669    | -6.064523 | 
11      | 1        | 94.0937   | 0.1505    | -6.064523 | 
12      | 1        | 217.7253  | 0.1515    | -6.064523 | 
13      | 40       | 0.3231    | 0.1411    | -6.064523 | 
14      | 22       | 0.2801    | 0.1339    | -6.064523 | 
15      | 1        | 217.7253  | 0.1256    | -6.064523 | 
16      | 1        | 125.0016  | 0.1242    | -6.064523 | 
17      | 1        | 94.0937   | 0.1183    | -6.064523 | 
18      | 1        | 155.9095  | 0.1129    | -6.064523 | 
19      | 1        | 217.7253  | 0.1099    | -6.064523 | 
20      | 1        | 94.0937   | 0.1047    | -6.064523 | 
21      | 1        | 186.8174  | 0.1024    | -6.064523 | 
22      | 23       | 0.4626    | 0.0957    | -6.064523 | 
23      | 42       | 0.2173    | 0.0922    | -6.064523 | 
24      | 1        | 94.0937   | 0.0902    | -6.064523 | 
25      | 1        | 217.7253  | 0.0882    | -6.064523 | 
26      | 48       | 0.125     | 0.0852    | -6.064523 | 
27      | 31       | 0.6244    | 0.0823    | -6.064523 | 
28      | 1        | 94.0937   | 0.0793    | -6.064523 | 
29      | 40       | 0.2154    | 0.0758    | -6.064523 | 
30      | 1        | 217.7253  | 0.0743    | -6.064523 | 
31      | 1        | 125.0016  | 0.0716    | -6.064523 | 
32      | 1        | 94.0937   | 0.0664    | -6.064523 | 
